sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
EDG,60,0.582744,2.3154E-4,1317370.0,4.7634828E7,8.1742288E7,1.32046997E8,7.04,14.19,46.95,1498745352,0.5109056507,1154969.89588,4.1762597E7
AMP,61,0.573443,2.2785E-4,1812840.0,4.7169313E7,8.2256324E7,9.49291063E8,6.3,-0.61,-11.47,1498745346,0.5027512407,1589360.33616,4.1354469E7
OBITS,62,2.86037,0.00113653,455661.0,4.7026484E7,1.64407E7,1.64437E7,2.21,19.68,40.94,1498745346,2.5077550279,399488.934564,4.1229247E7
MLN,63,78.0896,0.0310278,430982.0,4.6806906E7,599400.0,749400.0,0.96,1.51,-9.05,1498745351,68.4630264704,377852.262968,4.1036738E7
RLC,64,0.590465,2.3461E-4,307534.0,4.6688536E7,7.9070793E7,8.6999785E7,-1.17,-8.82,-14.48,1498745353,0.5176748367,269622.438616,4.093296E7
SJCX,65,0.899019,3.5721E-4,198358.0,4.6005629E7,5.1173144E7,5.0E8,0.33,-3.17,-13.57,1498745345,0.7881915338,173905.219192,4.0334239E7
QRL,66,0.8371,3.3261E-4,668197.0,4.35292E7,5.2E7,6.5E7,3.17,-11.96,-23.3,1498745353,0.7339056604,585824.346628,3.8163094E7
LBC,67,0.633196,2.5159E-4,4742480.0,4.3389454E7,6.8524524E7,4.66424524E8,1.34,-9.2,-27.54,1498745348,0.5551381299,4157846.03552,3.8040576E7
WINGS,68,0.46506,1.8479E-4,438977.0,4.1719757E7,8.9708333E7,1.0E8,-0.52,-11.31,-16.16,1498745350,0.4077292634,384861.671348,3.6576713E7
XVG,69,0.00294746,1.17E-6,787281.0,3.9523883E7,1.340947228E10,1.340947228E10,1.36,-2.24,-0.73,1498745347,0.0025841089,690228.147444,3.4651537E7
MONA,70,0.746018,2.9642E-4,217572.0,3.862926E7,5.17806E7,5.17806E7,2.56,7.66,17.03,1498745342,0.654051885,190750.594128,3.3867199E7
NMC,71,2.61406,0.00103866,2313940.0,3.8521834E7,1.47364E7,1.47364E7,1.97,-2.27,13.81,1498745340,2.2918091394,2028686.73256,3.3773016E7
XCP,72,14.2324,0.00565506,409503.0,3.7268678E7,2618580.0,2618580.0,1.26,-4.2,-19.46,1498745345,12.4778866576,359021.108172,3.2674344E7
OMNI,73,65.5015,0.0260261,755804.0,3.6627969E7,559193.0,615509.0,1.47,-10.07,9.27,1498745341,57.426737086,662631.506096,3.2112619E7
BAY,74,0.0359897,1.43E-5,352004.0,3.6262344E7,1.007575609E9,1.007575609E9,-4.75,-15.35,6.2,1498745344,0.0315530337,308610.354896,3.1792067E7
NLG,75,0.102324,4.066E-5,121657.0,3.5621588E7,3.48125445E8,4.501456E8,0.06,-0.71,0.83,1498745359,0.0897099066,106659.611668,3.1230301E7
BLK,76,0.463909,1.8433E-4,2269110.0,3.5359737E7,7.6221278E7,7.6221278E7,1.27,-2.75,-5.63,1498745341,0.4067201541,1989383.19564,3.100073E7
PPY,77,9.66101,0.00383867,20874.9,3.5344383E7,3658456.0,5463339.0,0.67,-23.78,-42.75,1498745354,8.4700393312,18301.5258276,3.0987269E7
MYST,78,1.81168,7.1984E-4,561288.0,3.5199175E7,1.9429024E7,3.2433366E7,0.66,0.08,-12.88,1498745354,1.5883433363,492094.660512,3.0859961E7
XAUR,79,0.265766,1.056E-4,136300.0,3.3781956E7,1.27111653E8,1.27111653E8,2.51,1.82,0.89,1498745345,0.2330034306,119497.4812,2.9617451E7
XZC,80,13.8139,0.00548877,2132900.0,3.3630979E7,2434575.0,2434575.0,1.08,1.64,-28.43,1498745350,12.1109776636,1869964.6196,2.9485086E7
XEL,81,0.485732,1.93E-4,69583.8,3.3145138E7,6.8237502E7,1.0E8,2.34,-1.31,0.0,1498745354,0.425852902,61005.7874712,2.9059138E7
VSL,82,0.93997,3.7348E-4,256882.0,3.1386065E7,3.3390496E7,3.3390496E7,0.78,8.03,10.83,1498745350,0.8240942583,225214.614568,2.7516916E7
BURST,83,0.0174699,6.94E-6,1532180.0,3.1382664E7,1.796384866E9,1.796384866E9,0.98,-3.41,11.41,1498745343,0.0153162806,1343298.97832,2.7513935E7
DICE,84,4.3835,0.00174172,131295.0,3.0691613E7,7001623.0,7001623.0,0.65,-0.82,33.79,1498745353,3.843119654,115109.47758,2.6908074E7
VTC,85,0.820238,3.2591E-4,3009080.0,3.0417663E7,3.7083947E7,3.7083947E7,0.6,1.2,-9.02,1498745341,0.7191223403,2638132.65392,2.6667895E7
VIA,86,1.33304,5.2967E-4,821033.0,3.0269475E7,2.2707102E7,2.2707102E7,1.15,-10.4,-16.96,1498745344,1.168708161,719819.335892,2.6537975E7
HMQ,87,0.181721,7.22E-5,581187.0,2.7771116E7,1.52822822E8,1.84190414E8,3.5,-2.65,-2.92,1498745353,0.159319162,509540.591388,2.4347604E7
EAC,88,0.00290279,1.15E-6,4546000.0,2.7130835E7,9.346468332E9,9.346468332E9,0.77,-4.54,12.38,1498745341,0.0025449457,3985587.304,2.3786254E7
NAV,89,0.422666,1.6794E-4,591502.0,2.5966248E7,6.1434438E7,6.1434438E7,0.65,1.39,-3.84,1498745342,0.3705614262,518583.999448,2.2765233E7
BLOCK,90,6.39257,0.00254,61253.6,2.5293517E7,3956706.0,1.008013E7,-2.5,0.25,3.67,1498745345,5.6045195407,53702.5012064,2.2175434E7
TRST,91,0.273369,1.0862E-4,263369.0,2.519027E7,9.21475E7,1.0E8,0.02,-3.05,-12.49,1498745352,0.2396691632,230901.923156,2.2084914E7
UNITY,92,30.599,0.0121581,9935.51,2.497065E7,816061.0,816061.0,0.39,-21.11,4.88,1498745343,26.826877676,8710.70006924,2.1892368E7
YBC,93,8.19793,0.00325733,1311050.0,2.4761221E7,3020424.0,3020424.0,-0.02,-1.65,-17.25,1498745341,7.1873219813,1149429.0002,2.1708756E7
BASH,94,0.0345065,1.371E-5,4043000.0,2.4070834E7,6.9757391E8,6.9757391E8,4.0,7.74,44.64,1498745350,0.0302526767,3544595.132,2.1103478E7
CFI,95,0.19208,7.632E-5,890860.0,2.401E7,1.25E8,5.0E8,4.03,-7.17,-11.17,1498745354,0.1684011459,781038.34264,2.1050143E7
POT,96,0.108734,4.32E-5,716644.0,2.3621524E7,2.17241374E8,2.17241374E8,1.28,-4.1,-9.56,1498745341,0.0953297074,628298.994256,2.0709557E7
TKN,97,0.989865,3.9331E-4,248141.0,2.3404423E7,2.3644056E7,3.940676E7,1.12,5.52,-21.45,1498745353,0.8678384023,217551.170084,2.051922E7
GRC,98,0.0598113,2.377E-5,341849.0,2.3345113E7,3.90312753E8,3.90312753E8,-0.38,-8.02,-22.58,1498745344,0.0524380022,299707.222676,2.0467221E7
QAU,99,0.276702,1.0994E-4,210555.0,2.2815193E7,8.2454023E7,2.4736207E8,1.66,4.68,5.02,1498745354,0.2425912842,184598.62182,2.0002627E7
