sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
MONA,monacoin,99,0.339798,1.3966E-4,-1.34,-9.3,111771.0,1497518948
XAS,asch,100,0.230652,9.48E-5,0.3,4.73,2429300.0,1497518988
CRB,creditbit,101,1.43978,5.9178E-4,-2.16,-9.11,2165040.0,1497518968
SHIFT,shift,102,1.55986,6.4114E-4,-0.13,-15.71,271414.0,1497518965
XBY,xtrabytes,103,0.0257222,1.057E-5,-0.82,-8.74,169099.0,1497518990
IFC,infinitecoin,104,1.80258E-4,7.0E-8,-0.05,-5.01,3767050.0,1497518942
CLOAK,cloakcoin,105,3.24577,0.00133408,-0.05,-14.83,203363.0,1497518952
DICE,etheroll,106,2.21456,9.1023E-4,-0.46,-1.35,50649.3,1497518992
UNY,unity-ingot,107,0.0767365,3.154E-5,0.07,-6.5,440755.0,1497518992
VIA,viacoin,108,0.683563,2.8096E-4,1.71,-21.49,682107.0,1497518954
PTOY,patientory,109,0.221347,9.098E-5,17.62,-85.97,793368.0,1497518995
TIME,chronobank,110,19.8269,0.00814927,-0.18,-12.84,501980.0,1497518986
ECN,e-coin,111,4.62907,0.00190265,1.06,4.0,92891.6,1497518989
GOLOS,golos,112,0.10747,4.417E-5,0.47,-20.73,30032.8,1497518982
WCT,waves-community-token,113,2.63729,0.00108398,-6.92,-12.05,5167.81,1497518984
WDC,worldcoin,114,0.114081,4.689E-5,-4.18,6.77,5528320.0,1497518941
MGC,mergecoin,115,0.131002,5.384E-5,-0.82,-12.64,5229040.0,1497518991
FTC,feathercoin,116,0.0770878,3.168E-5,-2.64,-17.58,1018830.0,1497518945
ZEN,zencash,117,8.55423,0.00351598,0.15,-19.03,282476.0,1497518993
VASH,vpncoin,118,0.031623,1.3E-5,0.38,-11.31,6573030.0,1497518959
EMC2,einsteinium,119,0.0596659,2.452E-5,-2.61,-16.21,815556.0,1497518948
B@,bankcoin,120,2.9523,0.00121346,-0.57,-9.16,99677.0,1497518988
BASH,luckchain,121,0.0170705,7.02E-6,-0.9,-5.57,472406.0,1497518981
PPY,peerplays-ppy,122,9.97514,0.0041,0.12,-28.59,2152.77,1497518994
TIPS,fedoracoin,123,2.70723E-5,1.0E-8,2.64,-7.52,116773.0,1497518946
BCY,bitcrystals,124,0.505733,2.0787E-4,0.2,-17.47,173851.0,1497518965
AGRS,agoras-tokens,125,0.279717,1.1497E-4,4.71,0.44,41333.0,1497518964
CLAM,clams,126,5.02607,0.00206582,1.28,-12.72,556140.0,1497518953
PLU,pluton,127,13.1014,0.00538498,-0.36,-14.7,143714.0,1497518978
VRC,vericoin,128,0.363803,1.4953E-4,-0.04,-45.2,386346.0,1497518951
ECC,eccoin,129,4.86592E-4,2.0E-7,-11.99,-54.4,679500.0,1497518949
NEOS,neoscoin,130,3.24911,0.00133545,-1.73,-15.59,319729.0,1497518955
FLO,florincoin,131,0.0804288,3.306E-5,-0.08,-13.98,250879.0,1497518943
MUSE,bitshares-music,132,0.00755164,3.1E-6,4.55,-35.18,8237.12,1497518962
SKY,skycoin,133,1.83863,7.5572E-4,1.82,-9.76,21072.4,1497518989
PEPECASH,pepe-cash,134,0.0144348,5.93E-6,-0.24,-6.84,7426.61,1497518978
XPM,primecoin,135,0.516782,2.1241E-4,-1.38,-9.66,1751820.0,1497518966
FLDC,foldingcoin,136,0.0201546,8.28E-6,9.76,3.01,578307.0,1497518957
PASC,pascal-coin,137,0.95082,3.9081E-4,0.88,-15.09,333122.0,1497518982
HEAT,heat-ledger,138,0.371288,1.5261E-4,0.64,-9.21,12063.2,1497518974
CRW,crown,139,0.675269,2.7755E-4,-0.05,-23.42,50713.4,1497518958
BITB,bitbean,140,0.00474179,1.95E-6,-0.15,-4.08,431296.0,1497518960
RBY,rubycoin,141,0.381961,1.5699E-4,3.19,-12.57,93587.9,1497518948
MUE,monetaryunit,142,0.0750212,3.084E-5,2.65,-16.11,76195.6,1497518958
AEON,aeon,143,0.639928,2.6302E-4,-7.71,-37.04,138303.0,1497518964
BPC,bitpark-coin,144,0.121672,5.001E-5,0.07,-2.13,1627.67,1497518983
OK,okcash,145,0.125156,5.144E-5,2.12,-0.64,120196.0,1497518958
LUN,lunyr,146,3.8095,0.00156579,0.26,-12.97,356198.0,1497518991
FRST,firstcoin,147,2.32739,9.5661E-4,0.04,-4.43,57177.2,1497518984
RISE,rise,148,0.0797988,3.28E-5,1.88,-18.66,147777.0,1497518973
QRK,quark,149,0.0337698,1.388E-5,0.28,22.91,662947.0,1497518967
BITCNY,bitcny,150,0.139041,5.715E-5,2.23,2.83,2482680.0,1497518956
SLS,salus,151,8.10173,0.00332999,0.11,-7.73,8385.16,1497518968
BELA,belacoin,152,0.224462,9.226E-5,-0.09,-13.83,246808.0,1497518948
BLITZ,blitzcash,153,1.94695,8.0024E-4,2.71,-20.96,106564.0,1497518958
XBC,bitcoin-plus,154,80.6349,0.0331427,2.6,-5.72,333438.0,1497518950
ESP,espers,155,3.86882E-4,1.6E-7,-6.44,-6.99,192521.0,1497518972
RLT,roulettetoken,156,0.773234,3.1782E-4,0.11,15.68,87689.8,1497518992
CADASTRAL,bitland,157,0.259079,1.0649E-4,4.14,57.58,23464.0,1497518974
GAM,gambit,158,6.33648,0.00260443,0.12,-17.38,24893.2,1497518962
SLR,solarcoin,159,0.210653,8.658E-5,-0.5,-11.46,33127.5,1497518949
SAFEX,safe-exchange-coin,160,0.00337566,1.39E-6,-1.71,-16.8,59486.1,1497518969
ION,ion,161,0.505326,2.077E-4,3.85,-14.0,12416.6,1497518973
ENRG,energycoin,162,0.0588828,2.42E-5,0.23,-19.61,11618.3,1497518950
SIB,sibcoin,163,0.478253,1.9657E-4,-1.58,5.57,78830.0,1497518966
INCNT,incent,164,0.298689,1.2277E-4,-1.39,-15.67,133929.0,1497518981
PINK,pinkcoin,165,0.0203267,8.35E-6,0.8,-16.84,940398.0,1497518951
NVC,novacoin,166,3.68928,0.00151638,1.15,-8.47,341217.0,1497518940
ZEIT,zeitcoin,167,1.69146E-4,7.0E-8,5.8,-0.09,91722.9,1497518950
XVC,vcash,168,0.396564,1.63E-4,1.14,-14.76,202281.0,1497518960
UNO,unobtanium,169,30.5266,0.0125471,3.37,-8.33,71233.7,1497518943
ABY,applebyte,170,0.00765926,3.15E-6,-0.85,-19.24,104811.0,1497518952
LMC,lomocoin,171,0.0283019,1.163E-5,0.75,-15.87,1331970.0,1497518977
ICOO,ico-openledger,172,12.2414,0.00503149,1.09,-4.65,19667.7,1497518973
MINT,mintcoin,173,2.27552E-4,9.0E-8,11.19,6.7,36897.6,1497518946
DAR,darcrus,174,0.408533,1.6792E-4,1.46,-15.98,62503.3,1497518983
BOST,boostcoin,175,0.465139,1.9118E-4,5.77,2.71,301734.0,1497518951
GCR,global-currency-reserve,176,0.052287,2.149E-5,2.17,-13.48,23218.5,1497518965
AUR,auroracoin,177,0.614788,2.5269E-4,1.94,-13.02,21356.9,1497518947
MAX,maxcoin,178,0.0968532,3.981E-5,-1.57,-6.82,325000.0,1497518946
XCN,cryptonite,179,0.0158016,6.49E-6,1.24,51.36,5427690.0,1497518954
MUSIC,musicoin,180,0.0266674,1.096E-5,-2.49,-19.27,103742.0,1497518987
RIC,riecoin,181,0.146466,6.02E-5,-3.25,-17.29,1148830.0,1497518948
